Title,Description,Compensation,Address,Employment Type,URL 
SUMMER OFFICE HELP,"Must have computer skills and phone manners.  General office duties.  Small Architectural/Engineering/Construction office with friendly environment.  NYC Department of Buildings Experience helpful.

High School or College Students, Female or Male.

Mon, Tues, Wed: Hours are flexible

NYC Drivers License plus.

Can lead to permanent position.",$15/hr,ASTORIA,part-time,https://newyork.craigslist.org/que/egr/d/summer-office-help/6622267700.html
IT Support Specialist / CAD Specialist,"IT/CAD consulting firm seeks computer-savvy architect or IT professional to help us support a prestigious roster of architecture firms and other small to mid-size professional services firms in New York City.

Candidates should have minimum 5 years of experience in all or most of the following areas:

- Desktop and laptop support (Window 7, Windows 10, OS X)
- Windows Server support (2008 / 2012 / 2016)
- General networking (firewalls, routers, wifi, TCP/IP)
- General PC hardware / software troubleshooting
- Email (Exchange, Gmail)
- Anti-virus / malware solutions
- VPN
- Data backup solutions
- Smart phones (iPhone, Android)
- MS Office
- Printing / Plotting support
- Cloud technology (O365, AWS, Azure)
- Virtualization technology (VMware, Hyper-V)

Experience in AutoCAD, Revit, and Adobe CS is also strongly preferred.

Good communication and creative problem solving skills are a must.

This is an excellent opportunity for a smart, motivated, hands-on individual to participate and grow in all aspects of computer system management and support for architecture and design firms.",Commensurate with experience,Flatiron,full-time,https://newyork.craigslist.org/mnh/egr/d/it-support-specialist-cad/6626263104.html
Interior Designer/ Draftsman,"AD100 boutique Design firms seeking a talented and inspired Designer / Draftsman with proven skills in interpreting, developing and communicating interior finishes and details. Applicant will help develop presentation boards, and schematic sketches through construction documents. We develop custom furniture, lighting and most other items we specify on our projects. The job will require that producing technical drawings for each category. 

This position requires 5 plus years of experience in high-end residential projects (hospitality a plus) and applicant must have excellent technical/AutoCAD skills. The job requires the ability to thrive in a collaborative environment as well as the ability to multitask as we are in need of a self-starter who is motivated, organized and detail oriented.

Candidate must possess the following qualities:

Excellent AutoCAD skills.
Strong communication skills (verbal and written).
Strong computer skills: Photoshop and Illustrator required, 3D a plus.
Must have excellent knowledge of construction materials and methods.
Ability to travel if needed.

Job responsibilities include but are not limited to:
Construction document production and detailing experience on high quality projects.
As-built documentation and working drawings.
Candidate must be capable of contributing to all phases of design.

NY RESIDENTS ONLY APPLY. 

Please reply with a cover letter, resume and examples of your work using the subject line: ""Interior Designer/ Draftsman""",Salary commensurate with experience.,TriBeCa,full-time,https://newyork.craigslist.org/mnh/egr/d/interior-designer-draftsman/6619955166.html
Architectural Project manager,"Multi faceted architecture firm seeking motivated self starter to join our expanding team as a project manager. Successful candidate should have a minimum 5 years practical experience devloping construction documents and strong working knowledge of AutoCAD.

The ideal candidate should possess the following qualifications:
• Knowledge of building codes, standards and structures 
• Experience in construction document preparation and field observation
• Ability to work independently; demonstrates professionalism in dealing with a variety of clients, consultants and vendors 
• Computer skills must include AutoCAD, Photoshop, and preferably 3D modeling software (SketchUp, Rhino or 3D Max). 
• Self-motivated, energetic, and organized, with strong graphic and verbal communication skills",Salary is negotiable based on experience,,full-time,https://newyork.craigslist.org/stn/egr/d/architectural-project-manager/6619919823.html
Estimator to read public bids,"Estimator required to  read public bids for New York state agencies , to read and explain plans and specifications and to fill out the bid packages.Please send your resume and your past experience related to this post to rmzcontractinginc@gmail.com. Only applicants with relevant experience may apply",depending on the type of bids,,part-time,https://newyork.craigslist.org/brx/egr/d/estimator-to-read-public-bids/6621223702.html
High-end Interior Design Firm seeks Receptionist,"Aero Studios Limited/Dan Fink Studio, a high-end residential and commercial design firm located in midtown Manhattan, seeks a friendly receptionist with excellent communication and organizational skills. The ideal candidate is PC proficient, and familiar with Microsoft Office Suite. 

Hours are Monday-Friday/ 9:30am-6pm
Benefits include health insurance, 401K, and a creative working environment. 

Job Duties: 
-Answer phones 
-send and distribute mailing and packages
-time billing (will be trained) 
-order office supplies, cars etc 

About the Company
About Thomas O'Brien - Aero Studios: 

Thomas O'Brien is an AD100 interior designer and home furnishings designer based in New York City.  He is the founder of Aero Studios, one of America's leading design firms, and the proprietor of Aero Ltd., the home boutique and vintage furnishings gallery connected to the studio. O'Brien is credited with translating modernism into a warm and livable style, in both his interiors and many product design categories. His multi-disciplinary studio offers full classical to modern design services in architecture, interiors, garden, and product design, for retail, commercial, and residential clients. He is the author of two books, AMERICAN MODERN and AERO: BEGINNING TO NOW, and is currently at work on his third. Together with his husband, designer Dan Fink, O'Brien is also the proprietor of a country home store and provisioner, Copper Beech, in Bellport, New York.

About Dan Fink Studio:

Dan Fink is an AD100 interior designer with a broad interest in history, art, and new American living. Launched in Silicon Valley in 2010, his work includes residential and commercial commissions across the continental US as well as abroad in locations including Hawaii and New Zealand. Fink's varied projects are united by a warmth of spirit that is at once classic, modern, and heartfelt. He brings together a mix of easy California culture, old world European refinement, and vintage New York urbanism. Now based in New York City, he is part of a new wave of creative entrepreneurs who are reinventing the traditional interior design process for 21st century clients. Together with his husband, designer Thomas O'Brien, Fink is also the proprietor of a country home store and provisioner, Copper Beech, in Bellport, New York.

Please submit a cover letter with your resume and salary requirements.",per experience,New York,full-time,https://newyork.craigslist.org/mnh/egr/d/high-end-interior-design-firm/6620435225.html
Structural Engineer,"NYC engineering design firm is currently seeking a structural engineer to join our team. 

Required Qualifications

- MS degree in Civil Engineering.
- Proficient skill with AutoCAD or Microstation. Knowledge in both is highly preferred.
- Experience or previous education/training in concrete/steel shop drawings, residential/commercial building structure design, or structural engineering calculation is a plus.
- Experience or previous education/training in eTabs, STAAD, or RAM is a plus.
- Experience or previous education/training for NYC special inspection is a plus.
- Must have excellent verbal and written communication skills, work well with team environments, and be able to work solely with minimal supervision on deadline driven projects.

We provide sponsorship for OPT, H1B. Please clearly indicate the request in your email.",The salary is based on level of experience.,,full-time,https://newyork.craigslist.org/que/egr/d/structural-engineer/6620015759.html
Project Manager & Intake Coordinator - Design/Architecture background,"PROCUREMENT PROJECT MANAGER:
An Interior Finish and FF+E supply company is looking for a qualified and experienced candidate to manage projects throughout the stages of material sourcing, procurement, design consultation, and material installation. This position will serve as the main liaison between our clients and the factories and vendors we work with.
Our typical projects include hotels, high rise residential towers, and apartment complexes. We work with developers and architects to source high quality and unique finishes from global sources.

The Procurement Project Manager will be responsible for:
Bidding, planning, execution and closing of any project brought to the company.
Determination and implementation of clients' needs based on knowledge of the firm, project description and scope of work
Provide the bridging gap between the factory production team and the client.
Handling of all project submittals to and from the client and factories
Providing a Material Take-off to identify and quantify all the materials that are required to accomplish the design/project.
Prepare in a timely fashion the definitive cost estimates based on the design package and take off of the project scope by itemizing it into line items with measured quantities.
Providing and/or reviewing Quality Reports as required per project to uncover defects and allowing or denying product release.
Familiarizing yourself with all products and specifications that the company provides.
Processing of purchase orders, payment request and review invoices for accuracy and approval for payment.
Oversee all procedures for logistics in import/export of shipments, including pick up, delivery and clearing customs.
Provide weekly update to Director of Operations pertaining to project functions

KNOWLEDGE, SKILLS AND ABILITIES REQUIRED:
Strong computer skills, including but not limited to MS Office, Photoshop, Autocad, and On-Screen Takeoff - a PLUS
Excellent relationship building skills.

EDUCATION AND OR EXPERIENCE
Education Requirements: Associates Degree or Higher.
Experience: Minimum of 2 years of experience in interior design, architecture, or a purchasing role



PROJECT INTAKE COORDINATOR:
A WBE Interior Finish supply company is looking for a qualified and experienced candidate to help assist manage projects throughout the stages of material sourcing, procurement, design consultation, and material installation. This position will serve as the main liaison between our clients and the factories and vendors we work with.

Our typical projects include hotels, high rise residential towers, and apartment complexes. We work with developers and architects to source high quality and unique finishes from global sources.

Project Intake Coordinator responsibilities:
•	Bidding, planning, execution and closing of any project brought to the company.
•	Determination and implementation of clients' needs based on knowledge of the firm, project description and scope of work
•	Providing a Material Take-off to identify and quantify all the materials that are required to accomplish the design/project.
•	Prepare in a timely fashion the definitive cost estimates based on the design package and take off of the project scope by itemizing it into line items with measured quantities.
•	Providing and/or reviewing Quality Reports as required per project to uncover defects and allowing or denying product release.
•	Familiarizing yourself with all products and specifications that the company provides.
•	Analyzing, monitoring, and preparing estimates, submittal packages, closeout documents, material requisitions, written correspondence, etc
•	Provide weekly update to Director of Operations pertaining to project functions
•	Excellent communication, multi-tasking, attention to detail and able to work in a fast paced construction office setting.

KNOWLEDGE, SKILLS AND ABILITIES REQUIRED:
Strong computer skills, including but not limited to MS Office, Photoshop, AutoCAD, and On-Screen Takeoff - a PLUS
Excellent relationship building skills.

EDUCATION AND OR EXPERIENCE
Education Requirements: Associates Degree or Higher.
Experience: Minimum of 2 years of experience in interior design, architecture, or a purchasing role

PLEASE MENTION THE JOB YOU ARE APPLYING TO IN THE SUBJECT OF THE EMAIL.",TBD,Midtown East,full-time,https://newyork.craigslist.org/mnh/egr/d/project-manager-intake/6620322639.html
Expediting Project Manager,"Established Expediting Company seeks experienced full time Project Manager  / Sign off coordinator

We are explicitly looking for someone that has experience with the NYC Department of Buildings. Possessing a valid Expediters Rigistration in good standing is a plus. 

You will be responsible for:

Preparation of Alteration Type I, II, New Building and related applications for filing with the Dept of Buildings, HUB and NBAT. You will also be responsible for tracking filing of applications, making appointments with plan examiners, apply for meetings with Borough Commissioners and Chief Plan's examiners.
You will also meet with applicants, property managers, and homeowners. Provide updates to clients by detailed emails, creation of spread sheets and reports to be sent to clients, as well as tracking and coordination of all of your work through company established methods.
We extensively use the following programs and you must be proficient in all of these applications:
E-Filing, Word, Excel, PermitPro, Adobe and Exchange

Requirements:

- Excellent writing skills
- The ability to speak clearly
- Must be a team player
- Good memory
- Ability to remain calm and clear under stress
- Strong organizational skills 
- Be fluent in English
- Punctuality is a must
- Must present yourself professionally

Position is available immediately for thequalified experienced person we are looking for. Our company offers competetive salary, health coverage and 401K

***** If you do not have NYC Expediting experience, if you do not know the DOB forms, and you cannot read drawings, please do not apply for this job. We will ask you questions pertaining to forms,applications and proceedures.

Please send your resume and your salary requirements. We look forward to hearing from you. 

We are not looking for Drafters, or Architects. Thank you.",based on experience,Downtown,full-time,https://newyork.craigslist.org/mnh/egr/d/expediting-project-manager/6620242550.html
FREELANCE EXPERIENCED CAD DRAFTER NEEDED: IMMEDIATE HIRE,"Please respond with HOURLY RATE and RESUME and portfolio in PDF.

We are a multi-functional drafting company, located in the heart of Downtown Brooklyn.  We work with architectural firms, engineering, real estate & construction companies as well as general contractors to develop custom drawings on an array of projects.

We are seeking mid-level, New York City based CAD Drafters who are interested in leveraging their existing skills and experience in construction projects; specifically those who possess design and drafting experience in millwork/cabinetry, concrete, steel shop drawings, HVAC shop drawings, stud framing, aluminum, glass, mechanical curtain wall and/or building façade design.

Ideal candidates exhibit the following attributes and background:
- Ability to work successfully in a collaborative team-oriented environment
- Strong drafting and system design aptitude and knowledge
- Proficiency in AutoCAD
- Site survey measuring/ Reinforced concrete / steel detailing / MEP experience a plus

Education and requirements:
- Must work at our office
- Prior experience in the design and/or construction industry
- Software proficiency in: AUTOCAD
- Experience with Revit, 3DS Max and Rhino a plus

Job Type: Freelance (1099)

Experience: construction drawing: 2 years
AutoCAD: 2 years minimum",Commensurate with experience level,DOWNTOWN BROOKLYN,contract,https://newyork.craigslist.org/brk/egr/d/freelance-experienced-cad/6621013508.html
IMMEDIATE HIRE - Firm Seeking Junior Architect/Draftsman,"Busy architecture firm seeking Junior Architect/Draftsman.

Full Time    

Requirements & Qualifications:

-BA in Architecture.
-1-2 years experience.
-Proficiency with AutoCAD.
-Experience with residential detached wood framed construction preferred.
-Proven ability to draft based off initial measurements and photos.
-Assisting architects and engineers on site visits to measure and draft new projects.
-Complete site visit reports with photo documentation.
-Good communication skills.
-Daily correspondence with team to give updates on status of all current projects.

*Applicants with Drivers License are preferred, as you may be asked to drive to site visits.",Commensurate with experience.,Brooklyn,full-time,https://newyork.craigslist.org/brk/egr/d/immediate-hire-firm-seeking/6621314121.html
Architecture Student for assistance w/ Architectural Portfolio Design,"The applicant for this short-term contract position will be an architectural student with truely excellent graphic design skills in Autocad, Illustrator, Photoshop and Indesign. The student must have a great eye (most importantly) and be able to tell a story with images, drawings and text. The total portfolio will be approximately 10 projects (+/- 30 pages).  A local student who can travel with their laptop is strongly preferred (but remote work will be considered if the remote process goes smoothly). The applicant is expected to collect files, drawings and images from hard drives and prep the source material (line weights, image quality, etc.) for use in the portfolio. The final project will be delivered in Indesign and PDF formats. The applicant must be willing to layout a single project (3-4 pages) as a test in order to get the contract. The portfolio needs to be complete in one week (by 6/25/18 latest). Please send samples of your own personal architecture portfolio to be considered. Architecture students only (as you must understand architectural drawing conventions, AutoCAD line weights, etc). If you are an accomplished modeler/renderer (rhino,vray or other programs) this is also strongly preferred and could be a second contract. This could be a great way to make some quick money for the summer!!",T.B.D. based on skill/speed,Fidi,contract,https://newyork.craigslist.org/mnh/egr/d/architecture-student-for/6620376773.html
HVAC Estimator,"ESTIMATOR -- HVAC Mechanical Contractor in need of an estimator
DUTIES:
-	Reviews all bidding documents and establishes a complete understanding of scope of work being bid
-	Visits work site, if practical, and becomes familiar with the actual working conditions for estimating purposes
-	Takes off all materials and prices same, identifies subcontractor involvement, solicits subcontractors and/or manufacturer prices and estimates direst field labor
-	Reviews print outs for any glaring discrepancies, errors and omissions
-	Prepares complete front sheet for project with list or quotes prices and undiscounted labor calculated thereon
-	Reviews front sheet with President and/or VP of Estimating and or designated Executive, identifies any problems that need clarification, qualification or exception
-	Implements discounts established during review and applies designated markup to adjusted net estimated cost
-	Prepares and oversees completing of bid form documents and/or proposal letters
-	Participates in any contract negotiations with client that involves scope of work and estimated quantities or values. Then once the bid and contract is awarded and accepted
-	Assist President in breaking down the total project estimate into identified cost codes using accounting format for formal computerized cost control implementation
-	Assist field staff in man loading progress and manpower schedules utilizing discounted labor units used in obtaining contract, if necessary
-	Assist field staff in breaking project down into dollar values to be used for billing purposes
-	Assist purchasing agent in procuring the equipment and subcontracted services to insure that all conditions of contract documents are identified/accounted for
If you have some or all of these skills, let's talk!",TBD,Maspeth,full-time,https://newyork.craigslist.org/que/egr/d/hvac-estimator/6620438567.html
Civil Engineer Estimator Site Work/Heavy Construction,"Civil Estimator for site work needed with minimum 5 to 10 years of experience in Sitework/Roadwork estimating (earthwork, paving, utilities, concrete, bridges, demolition, piles,underpinning)

Work for an well-established professional Contractor serving the TriState area.
Must have experience in and a strong command of Quantity take-offs, soliciting bids from subcontractors and suppliers, 
Preferred software Proficiency: Trimble HCE, HCSS, Agtek, OnScreen and AutoCad
Provide overall estimating for civil aspects of medium to large construction projects.

 Duties and Responsibilities: 
*Take off and price: excavation (large mass earth/rock excavation & cut to fill operations), site utilities, demolition, piles, paving, earth retention, hardscape, landscaping and other site development related work. 
*Prepare scopes of work, solicit bids and evaluate pricing for all subcontractors
*Coordinate scopes with estimators scoping other trades to insure no missing scope or overlap. 
*Evaluate Project Documents for constructability and value engineering issues 
*Review project geotechnical reports. Make recommendations regarding material suitability for fill or backfill, rock quality and quantities
*Evaluate and make recommendations for alternative building foundation solutions. 
*Participate in design development meetings and decisions on Design Build and Design Assist projects to ensure design of civil work provides best value to the project. 
*Develop and maintain subcontractor relations to ensure the client is viewed as a favored contractor by subcontractors. 
*Work on multiple projects and with multiple supervisors at once. 
*Prepare and present complete bid proposals to principals and to clients.  
Actively involve yourself with engineers and architects to develop value engineering benefits

Excellent opportunity for long term employment.  Your future and success will be a direct result of your own efforts and skills.",Compensation based on skill level and experience,,full-time,https://newyork.craigslist.org/wch/egr/d/civil-engineer-estimator-site/6620955268.html
Structural Engineer P.E.,"An Architectural/Engineering firm seeks a structural P.E. for structural analysis and design of: excavation, underpinning, foundation and framing plans for low to mid rise buildings using: concrete, structural steel, masonry, and light gage construction materials. Applicant must possess experience with industry standard analysis, design programs; AutoCAD, Ram, etc. and knowledge of NYC building code; Work effectively as a team member with co-workers, and Architect.",Competitive compensation,,full-time,https://newyork.craigslist.org/brk/egr/d/structural-engineer-pe/6621363040.html
Architecture / Draftsman,"Architect Office and Construction Firm located in Astoria is seeking full time draftsman 
with at least five years of experience in CAD and  also  must have knowledge in NYC DOB /forms ( NYC  Building Code &Zoning ) 
This is a good opportunity for the right person.   Please send resume with cover page.",Based on Experience,Astoria,full-time,https://newyork.craigslist.org/mnh/egr/d/architecture-draftsman/6621351883.html
Senior Architectural Designer,"We are a High End Residential Interior Design Firm in Manhattan expanding our architecture department and looking to fill a Senior Architectural Designer position. Ideal candidate must have 7-10 years of residential experience. 

Qualifications include:
-Degree in Architecture
-Excellent verbal and written communication skills
-Excellent organizational and time management skills
-Capable of managing several projects simultaneously
-Extreme proficiency in AutoCAD
-Construction administration experience
-Custom furniture design experience a plus
-Experience in producing Construction Documents including detailing and millwork
-Experience in NYC building codes and DOB filing processes
-Currently living in the NYC area and eligible for work in the US

Full Time position offers annual salary and benefits. Freelance positions also available.

Qualified candidates should send their resume in PDF form.",Commensurate with experience,Chelsea,full-time,https://newyork.craigslist.org/mnh/egr/d/senior-architectural-designer/6621411376.html
NYC DOB Expediter Seeks 2 Filing Rep/Project Manager 70k Starting,"Extremely busy and growing Queens based expediting company seeks experienced full time NYC Expediter/Project Manager for work in five boroughs of New York City.

We are explicitly looking for someone that already has experience with the NYC Department of Buildings/Landmarks/FDNY and possesses a valid Class 2 Expediters license. 

Some of our work is as follows:

Preparation of Alteration Type I, II and NB applications, filing of applications, acquiring work permits, meeting with examiners for approval, removing violations with DOB/ECB and FDNY, attending, ECB hearings, meetings with Deputy Borough Commissioners, Chief Plan's examiners, meetings with developers, property managers, homeowners. Constant updates to clients by sending detailed emails, occasional creation of spread sheets, creation of reports to be sent to clients, tracking and coordination of all work. 

Requirements:
-Ability to communicate with clients
- Excellent writing skills
- The ability to speak clear
- Strong organization skills
- Be fluent in English
- Valid driver's license 
- Punctuality is a must
-Be able to work with a team

We are ready to hire you today if you qualify and have the experience we are looking for. Our company offers a competitive salary, health coverage, 401K, paid sick leave and vacation pay.

**** If you do not possess a valid Class 2 Filing Rep, have knowledge of required DOB/DEP/Landmarks and FDNY forms, and you cannot read a set of drawings, please do not apply for this job. We will ask you questions pertaining to forms and applications.

Please respond with your resume and your salary requirements. We look forward to hearing from you. 

We are not looking for Drafters or Architects. Thank you.","Starting salary 70,000 commensurate with experience.",All Boroughs,full-time,https://newyork.craigslist.org/que/egr/d/nyc-dob-expediter-seeks-2/6620930186.html
"Construction firm seeking Architects, Engineers, & Estimators","We are seeking an experienced individual for the following positions Civil Engineer, Architect, & Estimator. Should be familiar with all facets of commercial building renovations especially Roofing, Masonry, and Interior Rehab. Should have experience of 5 years in Estimation and Project Management.

With over 30 years of experience, we have successfully completed hundreds of projects. Our experience has allowed us to delivery optimum performance and leadership. Customer base ranges from private owned businesses to government owned agencies. A leading restoration and building maintenance service provider in the New York-Tristate area. We offer general construction services as well as design/build providing clients with comprehensive solutions for all their building maintenance needs.
www.metrocorp.nyc

Job Requirements:
-Min. B.S. in Civil Engineering, Architecture OR 5 Years construction estimating experience
-Must be able to fully comprehend blueprints
-Project Takeoffs and Estimates
-Ability to lead project from bidding phase to close-out
-Knowledge of building construction, materials, and methods
-Proficient with Microsoft products, especially excel",65K to 125K subject to interview,Westbury,full-time,https://newyork.craigslist.org/lgi/egr/d/construction-firm-seeking/6619966585.html
Architecture & Interiors Firm seeks Junior Architect,"Position: Junior Architect
Company: Elizabeth Roberts Architecture & Design
Office: Gowanus, Brooklyn (2 blocks from the F/G/R subway lines)
Office Hours: 9am to 6pm

Elizabeth Roberts Architecture & Design is a growing 15 person architecture and interiors firm that specializes in highly customized residential and commercial projects in Brooklyn and Manhattan. We are looking to add a talented and personable architect to our team. This person must have prior experience working in an office and show evidence of a passion for design. We are looking for someone with great communication skills who has graphic talent and is a self-starter with the ability to independently manage a broad range of tasks on time. 


Requirements: 

-3+ years of experience working in residential architecture 
-B.Arch or M.Arch Professional degree 
-AutoCAD proficiency 
-Experience with construction documents and details 
-Experience with residential projects in NYC 
-Townhouse experience a plus
-3-D modeling on Rhino and free-hand drawing abilities a plus
-Technical proficiency with new construction a plus
-Legal authorization to work in the US and English fluency 
-Current or imminent residency in the NYC region 

This is a full-time opportunity including benefits. Your application will ONLY be considered if you meet the above requirements and ONLY if you reply to this Craigslist ad with your resume, your portfolio or work samples and project list. 

You will receive a response by e-mail if we would like to schedule a phone or in person interview. 

Elizabeth Roberts Architecture & Design
www.elizabethroberts.com",Based on experience,Brooklyn,full-time,https://newyork.craigslist.org/brk/egr/d/architecture-interiors-firm/6621458472.html
Architectural Drafter Needed for Immediate Hire,"Job Description:

AutoCAD Drafter needed for a busy architect office in Queens. This position will entail working with the designers on the development of different residential and commercial projects throughout the NYC. Positions Requirements:
- Experience with NYC Construction Requirements (for documentation)
- Familiarity with NYC Building Code.
- Accurate Detailed Construction Documentation, work in model and paper space, revise drawings from red-line markups

We are looking for an individual who can work closely with the lead designer and the other Senior Designers. This job is a full-time role. Interns with some experience welcome to apply 

Qualifications:

-Drafting AutoCAD 2015 and higher (good working knowledge of AutoCAD a must), 
-Experience with Microsoft Office Suite.

**Please provide salary requirements, resume and working documents that you have personally completed in the past.",based on experience,Queens,full-time,https://newyork.craigslist.org/que/egr/d/architectural-drafter-needed/6621928781.html
Project Manager/ Engineer - Contemporary Furniture Manufacturer,"Project Manager/ Engineer - Contemporary Furniture Manufacturer

Immed. Hire

Project Manager/ Engineer at Dune 

In this role, you will typically:

•	Create a detailed schedule from start to completion, which identifies and sequences of the operations to complete the job
•	An ability to read, understand, and interpret architectural drawings  
•	Calculate cost and time schedules for job and monitor costs throughout the job
•	Effectively create working drawings for production 
•	Create a BOM, estimate labor and tracking production 
•	Track and ensure project is delivered on time 
•	Develop manufacturing methods and tooling
•	Provide manufacturing process support to production areas
•	Research and request samples and product data for submittals  
•	Effectively analyze product and process designs for the purpose of waste elimination, continuous improvement, and productivity initiatives
•	Effective verbal communication skills, both in-person and via the telephone
We require:
•	A Bachelor's degree in Manufacturing, Industrial  or Mechanical Engineering and or 8+ years related experience 
•	5 years of experience in a manufacturing environment which includes interpreting blueprints;
•	Proven analytical and problem solving skills
•	Proven project management and Engineering skills


We would really like to see:

•	Intermediate to Expert Proficiency in AutoCAD or Solidworks
•	Previous experience working in a production environment
•	Experience in wood, metal and upholstery  
•	Proficiency Microsoft Office Suite including Excel
•	An analytical problem solver who can identify root causes and provide corrective solutions;
•	Effective verbal and written communication skills;
•	A team player who can also work independently with minimum supervision

Requirements:

Knowledge of interior construction details, millwork, furniture and finishes.

Able to implement shop drawings for residential and commercial projects.

Takeoffs and estimating of contract millwork projects, and project budgeting.

Knowledge of field measuring, and experience of installation techniques.

Project management, project forecasting, planning and implementing production.

Highly organized. Able to manage multiple and complex design projects on a fast track basis

Self-starter, results-driven, problem solver. Superior verbal and written communication skills.

Email cover letter, resume and salary requirements. 

Thank you!",Salary Commensurate with experience,jersey city,full-time,https://newyork.craigslist.org/jsy/egr/d/project-manager-engineer/6621572045.html
Architectural Drafter Needed for Immediate Hire,"Job Description:

AutoCAD Drafter needed for freelance work.  This position will entail working with the designers on the development of Hospitality projects throughout the country. Positions Requirements:
          - Experience with NYC Construction Requirements (for documentation)
          - Familiarity with NYC  Building Code (Not required)
          - Accurate Detailed Construction Documentation, work in model and paper space, revise drawings from red-line mark ups

We are looking for an individual who can work closely with the lead designer and the other Senior Designers. This job will begin as a freelance position with the potential for a full-time role.

Qualifications:

Drafting AutoCad 2010 and higher (good working knowledge of AutoCad a must), 
Rhino 3D
Solid Communication Skills (with team & potentially clients)

**Please provide working documents that you have personally completed in the past.",$14-18/hr depending upon experience,Brooklyn,employee's choice,https://newyork.craigslist.org/brk/egr/d/architectural-drafter-needed/6621836012.html
Furniture Designer,"About Armada:
Armada is a full service furniture design and manufacturing studio based out of the Brooklyn Navy Yard. We focus on providing custom furniture solutions for NYC interior designers and architects along with providing a standard product catalog. We aim to deliver the highest quality products for our clients by integrating a strong understanding of traditional woodworking joinery with modern manufacturing techniques and process. 

About the Job:
We are looking for a full time freelance designer to join our team at our Brooklyn studio. In this position he/she will work directly with the owners and fabrication team to develop client presentation drawings in addition to fabrication ready drawings, documents, and CNC files. We are a small and growing company and as such value individuals comfortable with departmental cross-over. The ideal candidate has experience in the field of furniture design as well as a familiarity with fabrication processes in solid wood, engineered wood, and metal.

Requirements:
● Bachelor's degree in Industrial Design, Architecture, or other design related field
● 2+ years experience in design industry
● Proficiency in Rhino or Solidworks, AutoCAD, Illustrator, Photoshop, Google Suite
● Proficiency in RhinoCam a plus
● Ability to produce detailed and organized shop drawings
● Willingness to learn to learn new processes and techniques
● Able to coordinate multiple projects at once

Please submit your resume and portfolio with the subject ""Furniture Designer"". This is a freelance position compensation will be hourly, rate determined by experience and qualifications.",Hourly,Brooklyn,contract,https://newyork.craigslist.org/brk/egr/d/furniture-designer/6622179366.html
Dental Cad Cam Technician,"Busy dental lab in Brooklyn seeking a skilled CAD CAM technician. Please have experience with Exocad, 3Shape, Trios, and other dental designing software. We are looking for someone who is versed in these systems. Please be able to design crowns, abutments, bars, and guides. Please send a resume in body of email. English is a must. Thanks!",TBD,,full-time,https://newyork.craigslist.org/brk/egr/d/dental-cad-cam-technician/6622376909.html
Midtown Architecture Office searching for entry level candidate,"Midtown Architecture Office searching for a talented entry level architectural license candidate to assist on multiple projects.

Candidate should be motivated, self-starting, intelligent, highly organized, articulate and have a strong passion for architecture and construction.

Responsibilities: Will include preparing working drawings and contract documents as well as assisting on all phases of various projects from initial site surveys to filing with the Department of Buildings and project completion. 

Requirements:
* Degree from accredited architecture school
* 1 -  2 years of work experience (Highly preferred) 
    (less experienced candidates will be considered if they have DOB or General Contracting
     experience.)                                                                           
* In the process of obtaining architectural licensure
* DOB ID and Building Department experience               
* Experience and knowledge of NYC Building Codes.
* Experience with working drawings
* Experience with commercial and residential projects
* Expert in AutoCAD
* Experience and familiarity in: SketchUp, Adobe software, MS Office Suite & other software
   useful
* Ability to work independently with minimal supervision  
* Ability to clearly communicate in writing and verbally
* Ability to complete tasks with accuracy and with strong attention to detail
* Ability to consistently meet deadlines

This is a great position for a young aspiring architect to learn how to successfully complete jobs from start to completion. 

You will learn a lot!

Please reply with:
* Your resume and work samples
* Your salary requirements and general availability including start date.
* Legal work status
* References will be required and verified after interview",Salaries are competitive and commensurate with each candidate's capabilities and experience,,full-time,https://newyork.craigslist.org/mnh/egr/d/midtown-architecture-office/6622066460.html
Landscape - Assistant Estimator / Designer,"Alfredo LDC is one of the largest privately owned full service landscaping companies in the Westchester area. We offer design / build, landscape, hardscape, grounds maintenance, and a variety of other commercial and high end residential services. We are looking for a motivated person to join our team.
As an Assistant Estimator / Designer, general duties would include review of RFP's, obtaining bid documents, estimating and preparing bid / client proposals. Bids and proposals will include earthwork, grading, drainage, planting, lawns, site furnishings, play equipment, stone masonry, pools, tennis courts etc....  Drawing small projects on the computer with various programs.  We are looking for someone with Landscape Design / Construction experience. (This is an entry level position)
•	Capable of reading landscape construction plans, calculate grades etc....
•	Excellent in verbal and written communication skills.
•	Ability to review RFP's, bid documents, and communicate with GC's to define an appropriate scope of work to be bid.
•	Composure to manage and meet tight deadlines while producing accurate takeoffs and bids.
•	Flexibility to work late when the need arises.
•	Good general computer knowledge, proficiency in Microsoft Office (particularly Word and Excel)
•	Experience on AutoCadd or equivalent, some experience with Google Sketch Up and ability to learn new computer programs relatively quickly.
•	Undergraduate degree in a related landscape / construction field or experience in the industry.

Job Type: Full-time
Benefits: Paid vacation, Holiday and Health Insurance.",Salary based on experience,"Armonk, NY",full-time,https://newyork.craigslist.org/wch/egr/d/landscape-assistant-estimator/6622440903.html
